dataPlatform,schema,dataset,class,field,sqlDataType,sourceDataType,sourceEntityType,sourceNullable,columnSize,definedBy,ordinalPosition,idx,pk,pii,encodingType,classification,V17
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,ACCOUNT_NO,12,VARCHAR2,Column,TRUE,40,STRING,3,true,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,AVAILABLE_BALANCE,2,NUMBER,Column,TRUE,18,REAL,12,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,BALANCE,2,NUMBER,Column,TRUE,18,REAL,11,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,BRANCH_CODE,12,VARCHAR2,Column,TRUE,30,STRING,7,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,CURRENCY_CODE,1,CHAR,Column,TRUE,3,STRING,8,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,CUSTOMER_KEY,2,NUMBER,Column,TRUE,0,REAL,5,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,IBAN,12,VARCHAR2,Column,TRUE,40,STRING,4,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,OPENED_AT,93,DATE,Column,TRUE,7,DATETIME,10,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,true,XML,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,PRODUCT_CODE,12,VARCHAR2,Column,TRUE,30,STRING,6,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,ACCOUNT_XML,STATUS,12,VARCHAR2,Column,TRUE,12,STRING,9,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass,account,,,,,,PayloadClass;AccountClass,,,,true,,ACCOUNT_NUMBER,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,accountNo,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,availableBalance,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,balance,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,branchCode,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,currency,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,customerId,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,iban,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,openedAt,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,productCode,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,ACCOUNT_XML,PayloadClass;AccountClass,status,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,BRANCH_XML,BRANCH_CODE,12,VARCHAR2,Column,TRUE,30,STRING,3,true,,,,,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,BRANCH_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,BRANCH_XML,NAME,12,VARCHAR2,Column,TRUE,100,STRING,4,,,,,NAME,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,BRANCH_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,true,XML,,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,PayloadClass,branch,,,,,,PayloadClass;BranchClass,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,PayloadClass;BranchClass,address,,,,,,PayloadClass;BranchClass;AddressClass,,,,,,ADDRESS,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,PayloadClass;BranchClass,code,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,PayloadClass;BranchClass,name,,,,,,STRING,,,,,,NAME,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,PayloadClass;BranchClass;AddressClass,city,,,,,,STRING,,,,,,CITY,
Temenos_Oracle,TEMENOS_DEMO,BRANCH_XML,PayloadClass;BranchClass;AddressClass,line1,,,,,,STRING,,,,,,LINE,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,ACCOUNT_NO,12,VARCHAR2,Column,TRUE,40,STRING,3,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,CARDNUM,12,VARCHAR2,Column,TRUE,25,STRING,5,,,true,,CREDIT_CARD,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,CARD_TYPE,12,VARCHAR2,Column,TRUE,12,STRING,4,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,EXPIRY_MM_YY,1,CHAR,Column,TRUE,5,STRING,6,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,true,XML,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,CARD_XML,STATUS,12,VARCHAR2,Column,TRUE,12,STRING,7,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,PayloadClass,card,,,,,,PayloadClass;CardClass,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,PayloadClass;CardClass,CardNum,,,,,,STRING,,,,true,,CREDIT_CARD,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,PayloadClass;CardClass,accountNo,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,PayloadClass;CardClass,expiry,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,PayloadClass;CardClass,status,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CARD_XML,PayloadClass;CardClass,type,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,CURRENCY_XML,CCY_CODE,1,CHAR,Column,TRUE,3,STRING,3,true,,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,CURRENCY_XML,CCY_NAME,12,VARCHAR2,Column,TRUE,60,STRING,4,,,,,NAME,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,CURRENCY_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,CURRENCY_XML,MINOR_UNITS,2,NUMBER,Column,TRUE,1,REAL,5,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,CURRENCY_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,true,XML,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,PayloadClass,currency,,,,,,PayloadClass;CurrencyClass,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,PayloadClass;CurrencyClass,code,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,PayloadClass;CurrencyClass,minorUnits,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CURRENCY_XML,PayloadClass;CurrencyClass,name,,,,,,STRING,,,,,,NAME,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,CUSTOMER_XML,BRANCH_CODE,12,VARCHAR2,Column,TRUE,30,STRING,6,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,CUSTOMER_XML,CUSTOMER_KEY,2,NUMBER,Column,TRUE,0,REAL,3,true,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,CUSTOMER_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,CUSTOMER_XML,PARTY_KEY,2,NUMBER,Column,TRUE,0,REAL,4,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,CUSTOMER_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,,XML,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,CUSTOMER_XML,SEGMENT,12,VARCHAR2,Column,TRUE,20,STRING,5,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,PayloadClass,customer,,,,,,PayloadClass;CustomerClass,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,PayloadClass;CustomerClass,branchCode,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,PayloadClass;CustomerClass,id,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,PayloadClass;CustomerClass,onboardedAt,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,PayloadClass;CustomerClass,partyId,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,CUSTOMER_XML,PayloadClass;CustomerClass,segment,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,LOAN_ACCT_NO,12,VARCHAR2,Column,TRUE,40,STRING,3,true,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,MATURITY_DATE,93,DATE,Column,TRUE,7,DATETIME,8,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,,XML,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,PRINCIPAL,2,NUMBER,Column,TRUE,18,REAL,4,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,RATE,2,NUMBER,Column,TRUE,7,REAL,6,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,START_DATE,93,DATE,Column,TRUE,7,DATETIME,7,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,STATUS,12,VARCHAR2,Column,TRUE,12,STRING,9,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,LOAN_XML,TERM_MONTHS,2,NUMBER,Column,TRUE,0,REAL,5,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass,loan,,,,,,PayloadClass;LoanClass,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,accountNo,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,interestRate,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,maturityDate,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,principal,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,startDate,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,status,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,LOAN_XML,PayloadClass;LoanClass,termMonths,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PARTY_XML,FULL_NAME,12,VARCHAR2,Column,TRUE,150,STRING,5,,,true,,FULL_NAME,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PARTY_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PARTY_XML,PARTY_KEY,2,NUMBER,Column,TRUE,0,REAL,3,true,,,,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PARTY_XML,PARTY_TYPE,12,VARCHAR2,Column,TRUE,10,STRING,4,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PARTY_XML,PAYLOAD,2009,XMLTYPE,Column,FALSE,2000,PayloadClass,2,,,true,XML,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PayloadClass,party,,,,,,PayloadClass;PartyClass,,,,true,,BUSINESS_NAME,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PayloadClass;PartyClass,birthDate,,,,,,STRING,,,,true,,DATE_OF_BIRTH,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PayloadClass;PartyClass,fullName,,,,,,STRING,,,,true,,FULL_NAME,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PayloadClass;PartyClass,id,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PayloadClass;PartyClass,kycLevel,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PARTY_XML,PayloadClass;PartyClass,type,,,,,,STRING,,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PRODUCT_XML,PRODUCT_XML,CATEGORY,12,VARCHAR2,Column,TRUE,20,STRING,5,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PRODUCT_XML,PRODUCT_XML,DEFAULT_CCY,1,CHAR,Column,TRUE,3,STRING,6,,,,,,
Temenos_Oracle,TEMENOS_DEMO,PRODUCT_XML,PRODUCT_XML,ID,2,NUMBER,Column,FALSE,0,REAL,1,true,true,,,,
Temenos_Oracle,TEMENOS_DEMO,PRODUCT_XML,PRODUCT_XML,INTEREST,2,NUMBER,Column,TRUE,7,REAL,7,,,,,,
